"","state_abb","year","population"
"248","TX","2004",22394023
"249","UT","2004",2401580
"250","VT","2004",619920
"251","VA","2004",7475575
"252","WA","2004",6178645
"253","WV","2004",1816438
"254","WI","2004",5514026
"255","WY","2004",509106
"256","AL","2005",4569805
"257","AK","2005",666946
"258","AZ","2005",5839077
"259","AR","2005",2781097
"260","CA","2005",35827943
"261","CO","2005",4631888
"262","CT","2005",3506956
"263","DE","2005",845150
"264","DC","2005",567136
"265","FL","2005",17842038
"266","GA","2005",8925922
"267","HI","2005",1292729
"268","ID","2005",1428241
"269","IL","2005",12609903
"270","IN","2005",6278616
"271","IA","2005",2964454
"272","KS","2005",2745299
"273","KY","2005",4182742
"274","LA","2005",4576628
"275","ME","2005",1318787
"276","MD","2005",5592379
"277","MA","2005",6403290
"278","MI","2005",10051137
"279","MN","2005",5119598
"280","MS","2005",2905943
"281","MO","2005",5790300
"282","MT","2005",940102
"283","NE","2005",1761497
"284","NV","2005",2432143
"285","NH","2005",1298492
"286","NJ","2005",8651974
"287","NM","2005",1932274
"288","NY","2005",19132610
"289","NC","2005",8705407
"290","ND","2005",646089
"291","OH","2005",11463320
"292","OK","2005",3548597
"293","OR","2005",3613202
"294","PA","2005",12449990
"295","RI","2005",1067916
"296","SC","2005",4270150
"297","SD","2005",775493
"298","TN","2005",5991057
"299","TX","2005",22778123
"300","UT","2005",2457719
"301","VT","2005",621215
"302","VA","2005",7577105
"303","WA","2005",6257305
"304","WV","2005",1820492
"305","WI","2005",5546166
"306","WY","2005",514157
"307","AL","2006",4628981
"308","AK","2006",675302
"309","AZ","2006",6029141
"310","AR","2006",2821761
"311","CA","2006",36021202
"312","CO","2006",4720423
"313","CT","2006",3517460
"314","DE","2006",859268
"315","DC","2006",570681
"316","FL","2006",18166990
"317","GA","2006",9155813
"318","HI","2006",1309731
"319","ID","2006",1468669
"320","IL","2006",12643955
"321","IN","2006",6332669
"322","IA","2006",2982644
"323","KS","2006",2762931
"324","KY","2006",4219239
"325","LA","2006",4302665
"326","ME","2006",1323619
"327","MD","2006",5627367
"328","MA","2006",6410084
"329","MI","2006",10036081
"330","MN","2006",5163555
"331","MS","2006",2904978
"332","MO","2006",5842704
"333","MT","2006",952692
"334","NE","2006",1772693
"335","NV","2006",2522658
"336","NH","2006",1308389
"337","NJ","2006",8661679
"338","NM","2006",1962137
"339","NY","2006",19104631
"340","NC","2006",8917270
"341","ND","2006",649422
"342","OH","2006",11481213
"343","OK","2006",3594090
"344","OR","2006",3670883
"345","PA","2006",12510809
"346","RI","2006",1063096
"347","SC","2006",4357847
"348","SD","2006",783033
"349","TN","2006",6088766
"350","TX","2006",23359580
"351","UT","2006",2525507
"352","VT","2006",622892
"353","VA","2006",7673725
"354","WA","2006",6370753
"355","WV","2006",1827912
"356","WI","2006",5577655
"357","WY","2006",522667
"358","AL","2007",4672840
"359","AK","2007",680300
"360","AZ","2007",6167681
"361","AR","2007",2848650
"362","CA","2007",36250311
"363","CO","2007",4803868
"364","CT","2007",3527270
"365","DE","2007",871749
"366","DC","2007",574404
"367","FL","2007",18367842
"368","GA","2007",9349988
"369","HI","2007",1315675
"370","ID","2007",1505105
"371","IL","2007",12695866
"372","IN","2007",6379599
"373","IA","2007",2999212
"374","KS","2007",2783785
"375","KY","2007",4256672
"376","LA","2007",4375581
"377","ME","2007",1327040
"378","MD","2007",5653408
"379","MA","2007",6431559
"380","MI","2007",10001284
"381","MN","2007",5207203
"382","MS","2007",2928350
"383","MO","2007",5887612
"384","MT","2007",964706
"385","NE","2007",1783440
"386","NV","2007",2601072
"387","NH","2007",1312540
"388","NJ","2007",8677885
"389","NM","2007",1990070
"390","NY","2007",19132335
"391","NC","2007",9118037
"392","ND","2007",652822
"393","OH","2007",11500468
"394","OK","2007",3634349
